{'BatchDate': '2020-02-02 10:57:13', 'StartingDate': '2020-02-02 09:57:02', 'EndingDate': '2020-02-02 10:57:03', 'Delay': '1h0min', 'nRT': 11642, 'nInf': 1831, 'nFam': 2370, 'nUse': 8510}
{'BatchDate': '2020-02-02 11:57:12', 'StartingDate': '2020-02-02 10:57:03', 'EndingDate': '2020-02-02 11:57:03', 'Delay': '1h0min', 'nRT': 11767, 'nInf': 1968, 'nFam': 2493, 'nUse': 8735}
{'BatchDate': '2020-02-02 12:57:13', 'StartingDate': '2020-02-02 11:57:03', 'EndingDate': '2020-02-02 12:57:04', 'Delay': '1h0min', 'nRT': 12040, 'nInf': 1975, 'nFam': 2530, 'nUse': 9229}
{'BatchDate': '2020-02-02 13:57:14', 'StartingDate': '2020-02-02 12:57:04', 'EndingDate': '2020-02-02 13:57:05', 'Delay': '1h0min', 'nRT': 11572, 'nInf': 1978, 'nFam': 2512, 'nUse': 8863}
{'BatchDate': '2020-02-02 14:57:12', 'StartingDate': '2020-02-02 13:57:06', 'EndingDate': '2020-02-02 14:57:03', 'Delay': '0h59min', 'nRT': 10944, 'nInf': 2061, 'nFam': 2587, 'nUse': 8440}
{'BatchDate': '2020-02-02 15:57:12', 'StartingDate': '2020-02-02 14:57:03', 'EndingDate': '2020-02-02 15:57:00', 'Delay': '0h59min', 'nRT': 9773, 'nInf': 1959, 'nFam': 2482, 'nUse': 7614}
{'BatchDate': '2020-02-02 16:57:12', 'StartingDate': '2020-02-02 15:57:05', 'EndingDate': '2020-02-02 16:57:04', 'Delay': '0h59min', 'nRT': 11486, 'nInf': 1964, 'nFam': 2504, 'nUse': 8647}
{'BatchDate': '2020-02-02 17:57:13', 'StartingDate': '2020-02-02 16:57:05', 'EndingDate': '2020-02-02 17:57:04', 'Delay': '0h59min', 'nRT': 12354, 'nInf': 2108, 'nFam': 2747, 'nUse': 8825}
{'BatchDate': '2020-02-02 18:57:12', 'StartingDate': '2020-02-02 17:57:04', 'EndingDate': '2020-02-02 18:57:02', 'Delay': '0h59min', 'nRT': 12490, 'nInf': 2080, 'nFam': 2746, 'nUse': 8915}
{'BatchDate': '2020-02-02 19:57:21', 'StartingDate': '2020-02-02 18:57:03', 'EndingDate': '2020-02-02 19:57:10', 'Delay': '1h0min', 'nRT': 12628, 'nInf': 2175, 'nFam': 2845, 'nUse': 8996}
{'BatchDate': '2020-02-02 20:57:19', 'StartingDate': '2020-02-02 19:57:11', 'EndingDate': '2020-02-02 20:57:08', 'Delay': '0h59min', 'nRT': 12906, 'nInf': 2127, 'nFam': 2790, 'nUse': 9385}
{'BatchDate': '2020-02-02 21:57:20', 'StartingDate': '2020-02-02 20:57:09', 'EndingDate': '2020-02-02 21:57:09', 'Delay': '1h0min', 'nRT': 12273, 'nInf': 2152, 'nFam': 2807, 'nUse': 9200}
{'BatchDate': '2020-02-02 22:57:20', 'StartingDate': '2020-02-02 21:57:09', 'EndingDate': '2020-02-02 22:57:11', 'Delay': '1h0min', 'nRT': 12725, 'nInf': 2148, 'nFam': 2838, 'nUse': 9359}
{'BatchDate': '2020-02-02 23:57:18', 'StartingDate': '2020-02-02 22:57:11', 'EndingDate': '2020-02-02 23:57:08', 'Delay': '0h59min', 'nRT': 11864, 'nInf': 2024, 'nFam': 2643, 'nUse': 8638}
{'BatchDate': '2020-02-03 00:57:11', 'StartingDate': '2020-02-02 23:57:08', 'EndingDate': '2020-02-03 00:57:00', 'Delay': '0h59min', 'nRT': 8429, 'nInf': 1666, 'nFam': 2149, 'nUse': 6377}
