{'DateRun': '2020-02-01 18:57:28', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 18:57:02', 'NQualifiedRTA': 54916, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 19:57:31', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 19:57:02', 'NQualifiedRTA': 62843, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 20:57:31', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 20:57:03', 'NQualifiedRTA': 70867, 'NQualifiedRTB': 35488, 'NRelevantTweets': 577, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-01 21:57:26', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-01 21:57:01', 'NQualifiedRTA': 19630, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-01 22:57:27', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-01 22:57:02', 'NQualifiedRTA': 25210, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-01 23:57:26', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-01 23:57:02', 'NQualifiedRTA': 30709, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-02 00:57:25', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-02 00:57:01', 'NQualifiedRTA': 35506, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-02 01:57:24', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-02 01:56:53', 'NQualifiedRTA': 39627, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-02 02:57:23', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-02 02:56:57', 'NQualifiedRTA': 42312, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-02 03:57:22', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-02 03:56:59', 'NQualifiedRTA': 43954, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 4548}
{'DateRun': '2020-02-02 04:57:22', 'FirstBassineID': 54881, 'DateLastAction': '2020-02-02 04:56:50', 'NQualifiedRTA': 44986, 'NQualifiedRTB': 30500, 'NRelevantTweets': 707, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 05:57:20', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 05:57:00', 'NQualifiedRTA': 4291, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 06:57:21', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 06:56:55', 'NQualifiedRTA': 4554, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 07:57:21', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 07:56:59', 'NQualifiedRTA': 5155, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 08:57:23', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 08:56:59', 'NQualifiedRTA': 6540, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 09:57:24', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 09:57:02', 'NQualifiedRTA': 9054, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 10:57:26', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 10:57:03', 'NQualifiedRTA': 12992, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 11:57:26', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 11:57:03', 'NQualifiedRTA': 17173, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5255}
{'DateRun': '2020-02-02 12:57:28', 'FirstBassineID': 54882, 'DateLastAction': '2020-02-02 12:57:04', 'NQualifiedRTA': 22113, 'NQualifiedRTB': 5621, 'NRelevantTweets': 378, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 13:57:30', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 13:57:05', 'NQualifiedRTA': 15372, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 14:57:26', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 14:57:03', 'NQualifiedRTA': 20185, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 15:57:26', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 15:57:00', 'NQualifiedRTA': 25071, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 16:57:26', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 16:57:04', 'NQualifiedRTA': 32322, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 17:57:27', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 17:57:04', 'NQualifiedRTA': 40646, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 18:57:26', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 18:57:02', 'NQualifiedRTA': 49112, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 19:57:45', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 19:57:10', 'NQualifiedRTA': 57933, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 5633}
{'DateRun': '2020-02-02 20:57:41', 'FirstBassineID': 54883, 'DateLastAction': '2020-02-02 20:57:08', 'NQualifiedRTA': 67380, 'NQualifiedRTB': 27509, 'NRelevantTweets': 669, 'TotalNRelevantTweets': 6302}
{'DateRun': '2020-02-02 21:57:41', 'FirstBassineID': 54884, 'DateLastAction': '2020-02-02 21:57:09', 'NQualifiedRTA': 29904, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 6302}
{'DateRun': '2020-02-02 22:57:41', 'FirstBassineID': 54884, 'DateLastAction': '2020-02-02 22:57:11', 'NQualifiedRTA': 36299, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 6302}
{'DateRun': '2020-02-02 23:57:40', 'FirstBassineID': 54884, 'DateLastAction': '2020-02-02 23:57:08', 'NQualifiedRTA': 42494, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 6302}
{'DateRun': '2020-02-03 00:57:28', 'FirstBassineID': 54884, 'DateLastAction': '2020-02-03 00:57:00', 'NQualifiedRTA': 46906, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 6302}
